Time,Auckland,Wellington,Otago,Canterbury,Auckland,Wellington,Otago,Canterbury,Auckland,Wellington,Otago,Canterbury,New Zealand
1993,216.83,184.25,161.17,152.92,35455.33,14108.58,6200,14373.42,1031728,412046,174009,463013,78309
1994,246,194,168.83,163,40354.5,15168.42,6757.83,16044.92,1056251,416006,175872,468699,84460
1995,271.83,211.25,169,172.42,45762.42,16419.58,7323.33,17474.83,1080773,419966,177735,474385,90337
1996,277.67,222.5,163.67,176.58,51359.58,17928.42,7702.5,19231.75,1115800,426900,189300,480400,96235
1997,269.08,229.83,161,174.67,55753,19579.33,7894.5,20898.42,1127816,427319,179614,485695,101101
1998,263.75,234.83,179.08,171.58,59396.17,21068,8191.83,21885.17,1152489,431321,181616,491386,104814
1999,266.17,236.42,176.58,175.17,63094.83,22597.83,8437.92,23137.5,1177161,435323,183618,497076,106827
2000,275.17,240.33,185.75,178.33,67685,24109.17,8751.58,24954.25,1201833,439326,185620,502767,113229
2001,300.33,247.17,200.83,191.75,72913,25617.67,9372.75,26456.5,1218300,440200,188300,496700,119838
2002,324.92,256.42,220.42,212.92,76773.67,27389.58,10071.08,28422.58,1253229,448112,189454,517088,128712
2003,330.83,267.92,245.08,231.42,81174.08,29473.5,11163.5,30428.58,1277696,452037,191473,522485,135181
2004,333.58,277.92,258.25,241.58,85421.42,30899.33,11655.83,31933.58,1302163,455961,193492,527882,144502
2005,342.08,295.92,261.42,254,89951.67,32116.92,12399.75,32953.42,1326630,459885,195511,533279,154558
2006,363.08,323.17,273.25,267.92,93908.25,32788.5,12942,34082.17,1373000,466300,199800,540000,162935
2007,380.17,344.5,283.75,280.42,99477.83,34733.92,13556.25,36311.67,1390400,469300,201000,547400,172112
2008,382.08,351.83,289.33,278,105607.67,36905.25,14310.08,38715.08,1405500,471800,202100,553800,186846
2009,394.17,363.5,291.92,284.17,110060.08,38039.5,15252.42,40403.42,1421700,475600,203300,560600,189617
2010,414.75,365.25,310.08,302.83,114515.58,39956,15938.33,41038.67,1439600,479400,204600,567700,194251
2011,430.42,371.42,317,329.58,117108.08,41320.08,16771.92,41961.42,1459600,483400,206600,559300,203434
2012,444.83,379.5,327,366.58,118741.08,42088.58,17361,42195.92,1476500,485100,207400,556000,213241
2013,463.58,390.17,341.83,394.92,123745.83,42884.67,17971.08,43065.83,1493200,486700,208800,562900,217472
2014,493.67,400.08,359,388.17,129094.17,44070.17,18312.33,44464,1526900,491400,211600,574300,232645
2015,514.58,420.58,385.17,376.42,135423.25,45180.67,18803.42,46269.08,1569900,496900,215000,586400,242238
2016,534.33,444.67,415,367.83,140927.08,45590.42,19529,47830.67,1614500,504900,219200,599900,254704
2017,549.43,477,424.29,374.14,143897.29,45746.57,19812.86,48955,1657200,513900,224200,612000,270280
