@relation census-comp309-weka.filters.unsupervised.attribute.NumericToNominal-Rlast_predicted

@attribute random_ID numeric
@attribute NZDep2006 numeric
@attribute ch_asian numeric
@attribute ch_euro numeric
@attribute ch_maori numeric
@attribute ch_melaa numeric
@attribute ch_other numeric
@attribute ch_pacific numeric
@attribute m_age numeric
@attribute m_asian numeric
@attribute m_euro numeric
@attribute m_maori numeric
@attribute m_melaa numeric
@attribute m_other numeric
@attribute m_pacific numeric
@attribute m_wklfs_code numeric
@attribute d_age numeric
@attribute d_asian numeric
@attribute d_euro numeric
@attribute d_maori numeric
@attribute d_melaa numeric
@attribute d_other numeric
@attribute d_pacific numeric
@attribute d_wklfs_code numeric
@attribute bedroom_count_code numeric
@attribute m_years_at_addr_code numeric
@attribute m_tenure_holder_code numeric
@attribute m_education numeric
@attribute m_work_hours numeric
@attribute m_smoke numeric
@attribute m_income_srce7 numeric
@attribute m_income_srce8 numeric
@attribute m_income_srce9 numeric
@attribute m_income_srce10 numeric
@attribute m_income_srce11 numeric
@attribute m_income_srce12 numeric
@attribute d_years_at_addr_code numeric
@attribute d_tenure_holder_code numeric
@attribute d_education numeric
@attribute d_work_hours numeric
@attribute d_smoke numeric
@attribute d_income_srce7 numeric
@attribute d_income_srce8 numeric
@attribute d_income_srce9 numeric
@attribute d_income_srce10 numeric
@attribute d_income_srce11 numeric
@attribute d_income_srce12 numeric
@attribute ch_sex numeric
@attribute child_depend_family_type_code numeric
@attribute d_family_role_code numeric
@attribute heat_fuel numeric
@attribute m_family_role_code numeric
@attribute telecomm1_code numeric
@attribute telecomm2_code numeric
@attribute telecomm4_code numeric
@attribute usual_resdnt_count_code numeric
@attribute twin numeric
@attribute singparstat numeric
@attribute 'prediction margin' numeric
@attribute 'predicted total_income_hhld_code' {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute total_income_hhld_code {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
4547,9,1,0,0,0,0,0,30,1,0,0,0,0,0,4,33,1,0,0,0,0,0,1,3,3,2,11,0,3,0,0,0,0,0,0,3,2,11,43,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,-0.370491,12,?
7446,1,0,1,0,0,0,0,33,0,1,0,0,0,0,4,36,0,1,0,0,0,0,1,4,1,1,2,0,3,0,0,0,0,0,0,1,1,8,45,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.45587,14,?
6336,2,0,1,0,0,0,0,35,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,4,2,1,11,0,3,0,0,0,0,0,0,3,1,11,40,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.823483,14,?
8316,4,0,1,1,0,0,0,26,0,1,0,0,0,0,2,27,0,1,1,0,0,0,1,3,0,1,11,?,3,0,0,0,0,0,0,2,1,9,45,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.293463,14,?
5559,4,0,1,1,0,0,0,22,0,1,0,0,0,0,4,22,0,0,1,0,0,0,1,3,0,2,6,0,3,0,0,0,0,0,0,0,2,8,45,2,0,0,0,0,0,0,1,21,1,1,1,1,2,99,3,1,1,-0.285773,10,?
9063,10,0,0,1,0,0,0,25,0,0,1,0,0,0,4,?,?,?,?,?,?,?,?,3,2,2,3,0,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,2,31,?,1,1,1,2,4,3,1,2,-0.175934,7,?
6651,9,0,1,1,0,0,0,25,?,0,0,?,1,0,4,32,0,0,1,0,1,0,1,4,0,?,1,0,1,0,0,0,0,0,0,1,2,2,45,1,0,0,0,0,0,0,1,21,1,1,1,1,2,99,5,1,1,-0.276993,12,?
6911,8,1,1,1,0,0,0,30,0,1,0,0,0,0,2,30,1,1,1,0,0,0,1,3,4,1,7,21,3,0,0,0,0,0,0,2,1,1,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.408347,12,?
7979,8,0,1,0,0,0,0,20,0,1,0,0,0,0,4,?,?,?,?,?,?,?,?,4,1,2,1,0,1,0,1,1,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,1,2,4,4,1,2,-0.339278,14,?
8223,1,0,1,0,0,0,0,41,0,1,0,0,0,0,2,53,0,1,0,0,0,0,1,4,2,2,2,2,3,0,0,0,0,0,0,1,2,11,60,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.455488,14,?
9323,5,0,1,1,0,0,1,24,0,1,1,0,0,1,4,?,?,?,?,?,?,?,?,4,0,2,1,0,2,0,0,1,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,1,2,99,3,1,2,-0.157047,14,?
5084,5,1,0,0,0,0,0,35,1,0,0,0,0,0,1,36,1,0,0,0,0,0,1,2,2,2,13,30,3,0,0,0,0,0,0,0,2,11,40,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.273047,12,?
7783,6,0,1,0,0,0,0,30,0,1,0,0,0,0,2,35,0,1,0,0,0,0,1,4,30,2,7,0,3,0,1,0,0,0,1,0,2,1,60,2,0,1,0,0,0,1,1,21,1,1,1,1,2,4,7,1,1,-0.457707,14,?
7902,1,0,1,0,0,0,0,37,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,3,1,11,0,3,0,0,0,0,0,0,3,1,11,53,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.784555,14,?
6915,4,0,0,1,0,0,0,27,0,0,1,0,0,0,4,?,?,?,?,?,?,?,?,2,1,2,0,0,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,1,99,99,3,1,2,-0.263585,7,?
7293,1,0,1,0,0,0,0,33,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,1,1,12,0,3,0,0,0,0,0,0,2,1,8,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.467362,13,?
4525,1,0,1,0,0,0,0,34,0,1,0,0,0,0,2,36,0,1,0,0,0,0,1,4,1,1,11,20,3,0,0,0,0,0,0,0,1,11,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.59143,14,?
6450,1,0,1,0,0,0,0,29,0,1,0,0,0,0,1,34,0,1,0,0,0,0,1,3,0,1,11,40,3,0,0,0,0,0,0,1,1,2,50,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.464138,14,?
9110,7,0,1,0,0,0,0,30,0,1,0,0,0,0,1,35,0,0,0,0,1,0,1,3,6,1,11,?,2,0,0,0,0,0,0,1,1,10,45,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.375327,14,?
8367,2,0,1,0,0,0,0,36,0,1,0,0,0,0,4,40,0,1,0,0,0,0,1,5,11,1,2,0,3,0,0,0,0,0,0,6,1,0,35,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,6,1,1,-0.389477,14,?
4536,7,0,1,0,0,0,0,32,0,1,0,0,0,0,2,38,0,1,0,0,0,0,1,3,0,2,11,12,3,0,0,0,0,0,0,0,2,2,40,3,0,0,0,0,0,0,1,21,1,1,1,99,2,4,3,1,1,-0.415311,12,?
6681,4,0,1,0,0,0,0,29,0,1,0,0,0,0,2,27,0,1,0,0,0,0,1,3,2,1,1,7,2,0,0,0,0,0,0,0,1,8,40,?,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.306133,12,?
5704,5,0,1,0,0,0,0,33,0,1,0,0,0,0,1,39,0,1,0,0,0,0,1,4,2,1,11,40,?,0,0,0,0,0,0,2,1,1,50,3,0,0,0,0,0,0,2,21,1,1,1,99,2,4,5,1,1,-0.455145,12,?
8990,2,0,0,0,0,1,0,29,0,0,0,0,1,0,4,31,0,0,0,0,1,0,1,3,0,1,11,0,3,0,0,0,0,0,0,1,1,8,40,?,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.329321,13,?
6633,2,0,1,0,0,0,0,27,0,1,0,0,0,0,4,23,0,1,0,0,0,0,1,5,7,2,10,0,3,0,0,0,0,0,1,0,2,2,44,3,0,0,0,0,0,1,2,21,1,1,1,1,2,4,5,1,1,-0.502413,14,?
9068,9,1,0,0,0,0,0,26,1,0,0,0,0,0,4,32,1,0,0,0,0,0,1,3,1,1,11,0,3,0,0,0,0,0,0,1,1,6,45,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.224972,11,?
6310,7,0,1,1,0,0,0,28,0,1,0,0,0,0,2,34,0,1,1,0,0,0,1,3,1,1,2,42,3,0,0,0,0,0,0,2,1,2,40,1,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.410734,12,?
5580,8,0,0,1,0,0,0,24,0,1,1,0,0,0,?,18,0,0,1,0,?,?,4,3,2,?,7,0,1,0,0,1,0,0,0,0,2,0,0,?,0,0,1,0,0,0,2,21,1,1,1,1,99,4,7,1,1,-0.200182,14,?
9715,8,0,1,1,0,0,0,17,0,0,1,0,0,1,4,33,0,1,0,0,0,0,1,4,0,2,9,0,1,0,1,0,0,0,1,17,2,7,60,3,0,1,0,0,0,1,1,21,1,1,1,1,2,4,5,1,1,-0.357333,14,?
7149,1,0,1,0,0,0,0,27,0,1,0,0,0,0,4,31,0,1,0,0,0,0,1,3,0,2,12,0,3,0,0,0,0,0,0,3,2,11,50,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.378755,14,?
