"","random_ID","NZDep2006","ch_asian","ch_euro","ch_maori","ch_melaa","ch_other","ch_pacific","m_age","m_asian","m_euro","m_maori","m_melaa","m_other","m_pacific","m_wklfs_code","d_age","d_asian","d_euro","d_maori","d_melaa","d_other","d_pacific","d_wklfs_code","bedroom_count_code","m_years_at_addr_code","m_tenure_holder_code","m_education","m_work_hours","m_smoke","m_income_srce7","m_income_srce8","m_income_srce9","m_income_srce10","m_income_srce11","m_income_srce12","d_years_at_addr_code","d_tenure_holder_code","d_education","d_work_hours","d_smoke","d_income_srce7","d_income_srce8","d_income_srce9","d_income_srce10","d_income_srce11","d_income_srce12","ch_sex","child_depend_family_type_code","d_family_role_code","heat_fuel","m_family_role_code","telecomm1_code","telecomm2_code","telecomm4_code","usual_resdnt_count_code","twin","singparstat","total_income_hhld_code","random_ID_imp","NZDep2006_imp","ch_asian_imp","ch_euro_imp","ch_maori_imp","ch_melaa_imp","ch_other_imp","ch_pacific_imp","m_age_imp","m_asian_imp","m_euro_imp","m_maori_imp","m_melaa_imp","m_other_imp","m_pacific_imp","m_wklfs_code_imp","d_age_imp","d_asian_imp","d_euro_imp","d_maori_imp","d_melaa_imp","d_other_imp","d_pacific_imp","d_wklfs_code_imp","bedroom_count_code_imp","m_years_at_addr_code_imp","m_tenure_holder_code_imp","m_education_imp","m_work_hours_imp","m_smoke_imp","m_income_srce7_imp","m_income_srce8_imp","m_income_srce9_imp","m_income_srce10_imp","m_income_srce11_imp","m_income_srce12_imp","d_years_at_addr_code_imp","d_tenure_holder_code_imp","d_education_imp","d_work_hours_imp","d_smoke_imp","d_income_srce7_imp","d_income_srce8_imp","d_income_srce9_imp","d_income_srce10_imp","d_income_srce11_imp","d_income_srce12_imp","ch_sex_imp","child_depend_family_type_code_imp","d_family_role_code_imp","heat_fuel_imp","m_family_role_code_imp","telecomm1_code_imp","telecomm2_code_imp","telecomm4_code_imp","usual_resdnt_count_code_imp","twin_imp","singparstat_imp","total_income_hhld_code_imp"
"1",1,9,0,1,0,0,0,0,"33","0","1","0","0","0","0","1","41","0","1","0","0","0","0","1","3","5","1","9","30","1",0,0,0,0,0,0,"2","1","8","40","2",0,0,0,0,0,0,2,21,"1","1","1",1,2,4,3,1,1,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",2,9,0,1,0,0,0,0,"18","0","1","0","0","0","0","4","24","0","1","0","0","0","0","1","2","1","2","0","0","1",0,0,0,0,0,0,"0","2","0","0","1",0,0,0,0,0,0,1,31,"1","1","1",1,99,99,2,1,2,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",3,2,0,1,0,0,0,0,"34","0","1","0","0","0","0","4","37","0","1","0","0","0","0","1","4","4","1","11","0","3",0,0,0,0,0,0,"4","1","11","35","3",0,0,0,0,0,0,2,21,"1","1","1",1,2,4,3,1,1,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",4,1,0,0,0,0,0,1,"28","0","0","0","0","0","1","4","24","0","1","0","0","0","1","1","4","2","2","0","0","1",0,0,0,0,0,1,"0","2","3","60","3",0,0,0,0,0,1,2,21,"1","1","1",99,2,99,5,1,1,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",7,4,0,1,0,0,0,0,"30","0","1","0","0","0","0","2","36","0","1","0","0","0","0","1","3","0","1","3","23","3",0,0,0,0,0,0,"9","1","8","50","2",0,0,0,0,0,0,2,21,"1","1","1",1,2,4,4,1,1,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",8,7,0,1,0,0,0,0,"36","0","1","0","0","0","0","4","36","0","0","0","0","1","0","1","3","4","1","3","1","3",0,0,0,0,0,0,"0","1","8","40","3",0,0,0,0,0,0,1,21,"1","1","1",1,2,4,4,1,1,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",9,5,0,1,0,0,0,0,"38","0","1","0","0","0","0","1","38","0","1","0","0","0","0","1","4","2","2","2","85","3",0,0,0,0,0,0,"1","1","0","70","1",0,0,0,0,0,0,1,21,"1","1","1",99,2,99,4,1,1,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",10,4,0,1,1,0,0,0,"36","0","1","1","0","0","0","1","36","0","0","1","0","0","0","1","4","0","2","8","35","3",0,0,0,0,0,0,"1","2","11","55","3",0,0,0,0,0,0,2,21,"1","1","1",1,2,99,4,1,1,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",12,7,0,1,0,0,0,0,"29","0","1","0","0","0","0","4","24","0","1","0","0","0","0","1","3","1","2","0","0","1",0,0,0,0,0,0,"1","2","0","0","1",0,0,0,0,0,0,1,31,"1","1","1",1,99,99,4,1,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",13,2,0,1,0,0,0,0,"35","0","1","0","0","0","0","3","39","0","1","0","0","0","0","1","4","0","1","13","3","3",0,0,0,0,0,0,"1","1","12","60","3",0,0,0,0,0,0,1,21,"1","1","1",1,2,4,4,1,1,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11",14,3,0,1,1,0,0,0,"21","0","1","1","0","0","0","4","21","0","1","1","0","0","0","1","3","0","2","0","0","1",0,0,0,0,0,0,"0","2","6","42","1",0,0,0,0,0,0,1,21,"1","1","1",1,2,99,3,1,1,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12",15,3,0,1,0,0,0,0,"22","0","1","0","0","0","0","4","33","0","1","0","0","0","0","1","3","0","2","11","0","2",0,0,0,0,0,0,"1","2","1","50","2",0,0,0,0,0,0,1,21,"1","1","1",1,99,99,3,1,1,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13",16,3,0,0,0,0,1,0,"29","0","0","0","0","1","0","2","31","0","0","0","0","1","0","1","1","1","1","11","1","3",0,0,0,0,0,0,"0","1","11","46","3",0,0,0,0,0,0,1,21,"1","1","1",99,2,4,5,1,1,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14",17,10,0,1,0,0,0,0,"20","0","1","0","0","0","0","4","34","0","1","0","0","0","0","1","3","0","2","1","0","1",0,0,0,0,0,0,"2","1","1","40","3",0,0,0,0,0,0,2,31,"1","1","1",1,2,4,3,1,3,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"15",18,3,0,1,0,0,0,0,"29","0","1","0","0","0","0","4","27","0","1","0","0","0","0","1","3","3","1","9","0","2",0,0,0,0,0,0,"3","1","11","50","3",0,0,0,0,0,0,2,21,"1","1","1",1,2,99,3,1,1,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"16",19,6,0,1,0,0,0,0,"28","0","1","0","0","0","0","2","29","0","1","0","0","0","0","1","4","1","1","3","16","3",0,0,0,0,0,0,"1","1","13","40","3",0,0,0,0,0,0,1,21,"1","1","1",1,2,4,3,1,1,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17",20,10,0,1,0,0,0,0,"31","0","1","0","0","0","0","4","30","0","1","0","0","0","0","3","2","0","2","12","0","2",0,0,0,0,0,0,"2","2","3","20","2",0,0,0,0,0,0,2,21,"1","1","1",99,2,4,3,1,1,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18",21,4,0,1,0,0,0,0,"30","0","1","0","0","0","0","2","30","0","1","0","0","0","0","1","4","1","1","2","0","3",0,0,0,0,0,0,"6","1","8","45","2",0,0,0,0,0,0,1,21,"1","1","1",1,2,4,5,1,1,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"19",22,10,0,0,1,0,0,0,"36","0","1","1","0","0","0","1","49","0","0","1","0","0","0","4","3","3","2","6","0","1",0,0,0,0,0,0,"0","2","11","0","1",0,0,0,0,0,0,1,21,"1","1","1",99,99,99,3,1,1,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20",23,5,1,0,0,0,0,0,"30","1","0","0","0","0","0","4","36","1","0","0","0","0","0","1","5","2","2","4","0","3",0,0,0,0,0,0,"2","2","4","40","3",0,0,0,0,0,0,1,21,"1","1","1",1,2,4,8,1,1,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21",24,2,0,1,0,0,0,0,"38","0","1","0","0","0","0","4","36","0","1","0","0","0","0","1","3","0","1","12","0","3",0,0,0,0,0,0,"0","1","4","40","1",0,0,0,0,0,0,1,21,"1","1","1",1,2,4,4,1,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
