random_ID,NZDep2006,ch_asian,ch_euro,ch_maori,ch_melaa,ch_other,ch_pacific,m_age,m_asian,m_euro,m_maori,m_melaa,m_other,m_pacific,m_wklfs_code,d_age,d_asian,d_euro,d_maori,d_melaa,d_other,d_pacific,d_wklfs_code,bedroom_count_code,m_years_at_addr_code,m_tenure_holder_code,m_education,m_work_hours,m_smoke,m_income_srce7,m_income_srce8,m_income_srce9,m_income_srce10,m_income_srce11,m_income_srce12,d_years_at_addr_code,d_tenure_holder_code,d_education,d_work_hours,d_smoke,d_income_srce7,d_income_srce8,d_income_srce9,d_income_srce10,d_income_srce11,d_income_srce12,ch_sex,child_depend_family_type_code,d_family_role_code,heat_fuel,m_family_role_code,telecomm1_code,telecomm2_code,telecomm4_code,usual_resdnt_count_code,twin,singparstat,total_income_hhld_code
2660,3,0,1,0,0,0,0,31,0,1,0,0,0,0,1,33,0,1,0,0,0,0,1,4,2,1,11,?,3,0,0,0,0,0,0,2,1,9,45,3,0,0,0,0,0,0,2,21,1,1,1,99,2,4,5,1,1,12
2661,6,0,1,0,0,0,0,34,0,1,0,0,0,0,2,37,0,1,0,0,0,0,1,3,0,2,11,25,3,0,0,0,0,0,0,2,2,11,60,2,0,0,0,0,0,0,2,21,1,1,1,99,2,4,5,1,1,12
2662,8,0,0,0,0,0,1,25,0,0,0,0,0,1,4,36,?,0,0,0,?,1,?,2,0,2,3,0,3,0,0,0,0,0,0,?,2,0,0,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,6,1,1,1
2664,7,0,0,0,0,1,0,35,0,0,0,0,1,0,4,33,0,1,0,0,0,0,1,4,11,1,10,0,3,0,0,0,0,0,0,7,1,2,?,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,12
2665,6,0,0,1,0,0,0,24,0,0,1,0,0,0,4,21,0,1,1,0,0,0,1,3,0,2,0,0,3,1,0,1,0,0,1,2,2,0,40,1,1,0,1,0,0,1,1,21,1,1,1,99,2,99,8,1,1,13
2666,4,0,0,0,0,1,0,35,0,0,1,0,0,0,2,39,0,0,0,0,1,0,1,5,8,1,0,?,2,0,0,0,0,0,0,8,2,1,55,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,14
2667,9,0,0,0,0,0,1,23,0,0,0,0,0,1,4,25,0,0,0,0,0,1,1,3,0,2,4,0,3,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,1,21,11,1,1,99,2,99,8,1,1,11
2668,9,0,1,1,0,0,0,27,0,1,1,0,0,0,4,?,?,?,?,?,?,?,?,2,1,2,1,0,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,1,2,4,4,1,2,10
2669,6,0,1,1,0,0,0,29,0,1,?,0,0,0,2,?,?,?,?,?,?,?,?,3,0,2,?,0,3,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,99,2,4,3,1,2,2
2670,2,0,1,0,0,0,0,36,0,1,0,0,0,0,4,38,0,1,0,0,0,0,1,4,1,2,4,0,3,0,0,0,0,0,0,1,2,8,45,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,13
