@relation bestV2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast_predicted

@attribute random_ID numeric
@attribute NZDep2006 numeric
@attribute ch_asian numeric
@attribute ch_euro numeric
@attribute ch_maori numeric
@attribute ch_melaa numeric
@attribute ch_other numeric
@attribute ch_pacific numeric
@attribute m_age numeric
@attribute m_asian numeric
@attribute m_euro numeric
@attribute m_maori numeric
@attribute m_melaa numeric
@attribute m_other numeric
@attribute m_pacific numeric
@attribute m_wklfs_code numeric
@attribute d_age numeric
@attribute d_asian numeric
@attribute d_euro numeric
@attribute d_maori numeric
@attribute d_melaa numeric
@attribute d_other numeric
@attribute d_pacific numeric
@attribute d_wklfs_code numeric
@attribute bedroom_count_code numeric
@attribute m_years_at_addr_code numeric
@attribute m_tenure_holder_code numeric
@attribute m_education numeric
@attribute m_work_hours numeric
@attribute m_smoke numeric
@attribute m_income_srce7 numeric
@attribute m_income_srce8 numeric
@attribute m_income_srce9 numeric
@attribute m_income_srce10 numeric
@attribute m_income_srce11 numeric
@attribute m_income_srce12 numeric
@attribute d_years_at_addr_code numeric
@attribute d_tenure_holder_code numeric
@attribute d_education numeric
@attribute d_work_hours numeric
@attribute d_smoke numeric
@attribute d_income_srce7 numeric
@attribute d_income_srce8 numeric
@attribute d_income_srce9 numeric
@attribute d_income_srce11 numeric
@attribute d_income_srce12 numeric
@attribute ch_sex numeric
@attribute child_depend_family_type_code numeric
@attribute d_family_role_code numeric
@attribute heat_fuel numeric
@attribute m_family_role_code numeric
@attribute telecomm1_code numeric
@attribute telecomm2_code numeric
@attribute telecomm4_code numeric
@attribute usual_resdnt_count_code numeric
@attribute twin numeric
@attribute singparstat numeric
@attribute 'prediction margin' numeric
@attribute 'predicted total_income_hhld_code' {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute total_income_hhld_code {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
4547,9,1,0,0,0,0,0,30,1,0,0,0,0,0,4,33,1,0,0,0,0,0,1,3,3,2,11,0,3,0,0,0,0,0,0,3,2,11,43,3,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,-0.361937,12,?
7446,1,0,1,0,0,0,0,33,0,1,0,0,0,0,4,36,0,1,0,0,0,0,1,4,1,1,2,0,3,0,0,0,0,0,0,1,1,8,45,3,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.36427,14,?
6336,2,0,1,0,0,0,0,35,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,4,2,1,11,0,3,0,0,0,0,0,0,3,1,11,40,2,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.752269,14,?
8316,4,0,1,1,0,0,0,26,0,1,0,0,0,0,2,27,0,1,1,0,0,0,1,3,0,1,11,?,3,0,0,0,0,0,0,2,1,9,45,3,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.354149,13,?
5559,4,0,1,1,0,0,0,22,0,1,0,0,0,0,4,22,0,0,1,0,0,0,1,3,0,2,6,0,3,0,0,0,0,0,0,0,2,8,45,2,0,0,0,0,0,1,21,1,1,1,1,2,99,3,1,1,-0.257818,10,?
9063,10,0,0,1,0,0,0,25,0,0,1,0,0,0,4,?,?,?,?,?,?,?,?,3,2,2,3,0,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,2,31,?,1,1,1,2,4,3,1,2,-0.159536,6,?
6651,9,0,1,1,0,0,0,25,?,0,0,?,1,0,4,32,0,0,1,0,1,0,1,4,0,?,1,0,1,0,0,0,0,0,0,1,2,2,45,1,0,0,0,0,0,1,21,1,1,1,1,2,99,5,1,1,-0.248292,12,?
6911,8,1,1,1,0,0,0,30,0,1,0,0,0,0,2,30,1,1,1,0,0,0,1,3,4,1,7,21,3,0,0,0,0,0,0,2,1,1,40,3,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.347301,12,?
7979,8,0,1,0,0,0,0,20,0,1,0,0,0,0,4,?,?,?,?,?,?,?,?,4,1,2,1,0,1,0,1,1,0,0,0,?,?,?,0,?,0,0,0,0,0,1,31,?,1,1,1,2,4,4,1,2,-0.341669,13,?
8223,1,0,1,0,0,0,0,41,0,1,0,0,0,0,2,53,0,1,0,0,0,0,1,4,2,2,2,2,3,0,0,0,0,0,0,1,2,11,60,3,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.448745,14,?
9323,5,0,1,1,0,0,1,24,0,1,1,0,0,1,4,?,?,?,?,?,?,?,?,4,0,2,1,0,2,0,0,1,0,0,0,?,?,?,0,?,0,0,0,0,0,1,31,?,1,1,1,2,99,3,1,2,-0.172371,13,?
5084,5,1,0,0,0,0,0,35,1,0,0,0,0,0,1,36,1,0,0,0,0,0,1,2,2,2,13,30,3,0,0,0,0,0,0,0,2,11,40,2,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.260368,12,?
7783,6,0,1,0,0,0,0,30,0,1,0,0,0,0,2,35,0,1,0,0,0,0,1,4,30,2,7,0,3,0,1,0,0,0,1,0,2,1,60,2,0,1,0,0,1,1,21,1,1,1,1,2,4,7,1,1,-0.457097,14,?
7902,1,0,1,0,0,0,0,37,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,3,1,11,0,3,0,0,0,0,0,0,3,1,11,53,3,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.786395,14,?
6915,4,0,0,1,0,0,0,27,0,0,1,0,0,0,4,?,?,?,?,?,?,?,?,2,1,2,0,0,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,1,31,?,1,1,1,99,99,3,1,2,-0.223011,6,?
7293,1,0,1,0,0,0,0,33,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,1,1,12,0,3,0,0,0,0,0,0,2,1,8,40,3,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.46301,13,?
4525,1,0,1,0,0,0,0,34,0,1,0,0,0,0,2,36,0,1,0,0,0,0,1,4,1,1,11,20,3,0,0,0,0,0,0,0,1,11,50,3,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.560143,14,?
6450,1,0,1,0,0,0,0,29,0,1,0,0,0,0,1,34,0,1,0,0,0,0,1,3,0,1,11,40,3,0,0,0,0,0,0,1,1,2,50,3,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.457326,14,?
9110,7,0,1,0,0,0,0,30,0,1,0,0,0,0,1,35,0,0,0,0,1,0,1,3,6,1,11,?,2,0,0,0,0,0,0,1,1,10,45,3,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.36357,14,?
8367,2,0,1,0,0,0,0,36,0,1,0,0,0,0,4,40,0,1,0,0,0,0,1,5,11,1,2,0,3,0,0,0,0,0,0,6,1,0,35,3,0,0,0,0,0,1,21,1,1,1,1,2,4,6,1,1,-0.40676,14,?
4536,7,0,1,0,0,0,0,32,0,1,0,0,0,0,2,38,0,1,0,0,0,0,1,3,0,2,11,12,3,0,0,0,0,0,0,0,2,2,40,3,0,0,0,0,0,1,21,1,1,1,99,2,4,3,1,1,-0.400978,12,?
6681,4,0,1,0,0,0,0,29,0,1,0,0,0,0,2,27,0,1,0,0,0,0,1,3,2,1,1,7,2,0,0,0,0,0,0,0,1,8,40,?,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.274419,13,?
5704,5,0,1,0,0,0,0,33,0,1,0,0,0,0,1,39,0,1,0,0,0,0,1,4,2,1,11,40,?,0,0,0,0,0,0,2,1,1,50,3,0,0,0,0,0,2,21,1,1,1,99,2,4,5,1,1,-0.381919,12,?
8990,2,0,0,0,0,1,0,29,0,0,0,0,1,0,4,31,0,0,0,0,1,0,1,3,0,1,11,0,3,0,0,0,0,0,0,1,1,8,40,?,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.304394,13,?
6633,2,0,1,0,0,0,0,27,0,1,0,0,0,0,4,23,0,1,0,0,0,0,1,5,7,2,10,0,3,0,0,0,0,0,1,0,2,2,44,3,0,0,0,0,1,2,21,1,1,1,1,2,4,5,1,1,-0.50116,14,?
9068,9,1,0,0,0,0,0,26,1,0,0,0,0,0,4,32,1,0,0,0,0,0,1,3,1,1,11,0,3,0,0,0,0,0,0,1,1,6,45,3,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.240348,11,?
6310,7,0,1,1,0,0,0,28,0,1,0,0,0,0,2,34,0,1,1,0,0,0,1,3,1,1,2,42,3,0,0,0,0,0,0,2,1,2,40,1,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.429542,12,?
5580,8,0,0,1,0,0,0,24,0,1,1,0,0,0,?,18,0,0,1,0,?,?,4,3,2,?,7,0,1,0,0,1,0,0,0,0,2,0,0,?,0,0,1,0,0,2,21,1,1,1,1,99,4,7,1,1,-0.188345,14,?
9715,8,0,1,1,0,0,0,17,0,0,1,0,0,1,4,33,0,1,0,0,0,0,1,4,0,2,9,0,1,0,1,0,0,0,1,17,2,7,60,3,0,1,0,0,1,1,21,1,1,1,1,2,4,5,1,1,-0.429865,14,?
7149,1,0,1,0,0,0,0,27,0,1,0,0,0,0,4,31,0,1,0,0,0,0,1,3,0,2,12,0,3,0,0,0,0,0,0,3,2,11,50,3,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.343416,14,?
7690,8,0,1,0,0,0,0,28,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,0,1,10,0,2,0,0,0,0,0,0,1,1,11,40,3,0,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,-0.339627,13,?
5849,5,1,0,0,0,0,0,30,1,0,0,0,0,0,4,39,1,0,0,0,0,0,1,3,0,1,7,0,3,0,0,0,0,0,0,0,1,13,38,3,0,0,0,0,0,1,21,1,1,1,1,2,4,5,1,1,-0.288266,11,?
7935,1,1,0,0,0,0,0,29,1,0,0,0,0,0,4,33,1,0,0,0,0,0,1,3,5,2,0,0,3,0,0,0,0,0,0,5,2,0,40,3,0,0,0,0,0,1,21,1,0,1,99,2,99,4,1,1,-0.283167,12,?
7214,8,0,0,1,0,0,0,35,0,0,1,0,0,0,4,?,?,?,?,?,?,?,?,3,0,2,0,0,2,0,0,1,0,0,0,?,?,?,0,?,0,0,0,0,0,1,31,?,1,1,1,2,99,7,1,2,-0.187036,14,?
4548,10,0,0,1,0,0,0,24,0,0,1,0,?,?,4,?,?,?,?,?,?,?,?,5,?,1,?,0,?,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,2,31,?,?,1,1,99,99,4,1,2,-0.162894,7,?
9239,6,0,1,0,0,0,0,36,0,1,0,0,0,0,1,35,0,1,0,0,0,0,1,4,4,1,8,32,3,0,0,0,0,0,0,4,1,11,45,3,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.527939,14,?
6635,4,0,1,0,0,0,0,29,0,1,0,0,0,0,2,33,0,1,0,0,0,0,1,4,5,1,2,20,3,0,0,0,0,0,0,6,1,8,80,1,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.354245,13,?
9454,6,1,0,0,1,1,0,35,1,0,0,0,0,0,4,38,0,0,0,0,1,0,1,2,3,2,11,0,3,0,0,0,0,0,0,5,2,11,40,3,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.23227,14,?
5549,7,0,1,0,0,0,0,37,0,1,0,0,0,0,1,42,?,1,0,0,0,0,4,3,5,1,3,?,3,0,0,0,0,0,0,?,1,11,0,3,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.207062,12,?
6556,6,0,1,0,0,0,0,34,0,?,?,0,0,0,?,?,?,?,?,?,?,?,?,3,?,2,1,0,?,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,1,31,?,1,1,1,2,4,2,1,2,-0.139195,6,?
7384,1,1,1,0,0,0,0,36,1,0,0,0,0,0,4,39,0,1,0,0,0,0,1,2,3,2,11,0,3,0,0,0,0,0,0,4,1,12,50,3,0,0,0,0,0,2,21,1,1,1,99,2,99,4,1,1,-0.266356,14,?
9580,6,1,0,0,0,0,0,34,1,0,0,0,0,0,4,37,1,0,0,0,0,0,1,3,3,1,13,0,3,0,0,0,0,0,0,2,1,11,40,3,0,0,0,0,0,1,21,1,1,1,1,2,4,5,1,1,-0.277745,14,?
6640,8,0,1,0,0,1,0,27,0,0,1,0,1,0,2,39,0,0,0,0,1,0,2,3,1,2,0,0,1,0,0,0,0,0,0,1,2,?,20,2,0,0,0,0,0,1,21,1,1,1,99,2,99,3,1,1,-0.225834,12,?
7861,7,1,0,0,0,0,0,26,1,0,0,0,0,0,4,33,1,0,0,0,0,0,1,2,0,1,9,0,3,0,0,0,0,0,0,0,1,11,45,3,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,-0.536881,13,?
4980,10,0,1,1,0,0,0,33,0,1,1,0,0,0,4,?,?,?,?,?,?,?,?,4,0,2,?,0,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,2,31,?,1,1,1,2,4,5,1,2,-0.143673,12,?
7355,7,0,1,1,0,0,0,30,0,1,1,0,0,0,2,34,0,1,0,0,0,0,1,2,0,1,11,16,3,0,0,0,0,0,0,0,1,9,50,1,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.302019,12,?
5563,2,0,1,0,1,0,0,?,?,?,?,?,?,?,?,34,0,1,0,?,?,?,1,2,?,?,?,0,?,0,0,0,0,0,0,2,2,9,40,?,0,0,0,0,0,1,31,1,1,?,1,2,4,2,1,3,-0.160546,12,?
6832,8,0,0,1,0,0,0,31,0,0,1,0,0,0,4,29,0,0,1,0,0,0,1,3,0,2,7,0,1,0,0,0,0,0,0,3,2,?,50,1,0,0,0,0,0,2,21,1,1,1,1,99,99,8,2,1,-0.253311,10,?
4112,7,0,0,0,1,0,0,33,0,0,0,1,1,0,2,31,0,0,0,1,1,0,1,3,1,2,14,0,3,0,0,0,0,0,0,1,2,13,40,2,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.43843,12,?
8642,8,0,1,1,0,0,0,28,0,1,1,0,0,0,4,33,0,0,1,0,0,0,1,3,7,1,3,0,3,0,0,0,0,0,0,7,1,0,40,2,0,0,0,0,0,2,21,1,1,1,1,2,99,4,1,1,-0.254436,13,?
8436,5,0,1,0,0,0,0,37,0,1,0,0,0,0,1,47,0,1,0,0,0,0,1,3,1,2,0,100,1,0,0,0,0,0,0,1,2,6,50,1,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,-0.312444,12,?
7161,7,0,0,1,0,0,0,64,0,0,1,0,0,0,4,?,?,?,?,?,?,?,?,4,?,1,0,0,3,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,1,33,?,?,11,99,2,99,3,1,2,-0.176774,6,?
7060,1,0,1,0,0,0,0,41,0,1,0,0,0,0,2,39,0,1,0,0,0,0,1,4,4,1,13,28,2,0,0,0,0,0,0,2,1,1,45,?,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.501587,14,?
8913,2,0,1,0,0,0,0,35,0,1,0,0,0,0,2,49,0,1,0,0,0,0,1,3,12,1,11,24,3,0,0,0,0,0,0,8,1,8,40,3,0,0,0,0,0,1,21,1,1,1,99,2,4,4,1,1,-0.454218,14,?
7081,10,0,0,1,0,0,1,23,0,0,1,0,0,0,4,?,?,?,?,?,?,?,?,2,1,2,0,0,3,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,2,31,?,1,1,99,99,99,4,1,2,-0.246349,7,?
6707,8,0,1,0,0,0,0,32,0,1,0,0,0,0,4,33,0,1,0,0,0,0,1,2,6,1,9,0,3,0,0,0,0,0,0,5,1,8,45,2,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.32008,13,?
8590,10,0,0,1,0,0,0,42,0,0,1,0,0,0,2,?,?,?,?,?,?,?,?,4,0,2,8,20,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,1,33,?,?,1,99,99,99,7,1,2,-0.224443,7,?
9860,5,0,0,0,0,0,1,28,0,0,0,0,0,1,4,37,0,0,0,0,1,0,1,4,1,2,1,15,3,0,0,0,0,0,0,0,1,0,40,1,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.22767,12,?
8989,8,0,0,0,0,0,0,19,0,0,0,0,0,1,4,23,0,1,0,0,0,1,4,4,12,2,3,0,3,0,1,1,0,1,1,14,2,7,0,1,0,1,1,1,1,1,21,1,1,1,1,2,99,12,1,1,-0.316698,14,?
