random_ID,'predicted total_income_hhld_code'
3957,12
3973,5
3974,11
3975,12
3986,8
3990,7
4004,4
4012,13
4026,5
4029,5
4037,11
4038,6
4045,8
4048,12
4052,13
4057,5
4061,13
4062,13
4079,7
4086,5
4088,7
4108,8
4126,7
4134,7
4146,5
4165,13
4167,7
4170,7
4176,5
4178,14
4182,14
4184,14
4208,5
4215,14
4221,7
4223,11
4225,7
4235,14
4256,7
4258,13
4268,11
4269,12
4270,6
4276,6
4277,13
4281,10
4290,5
4298,7
4312,5
4315,6
4319,14
4320,13
4322,7
4323,13
4329,14
4334,7
4344,14
4352,14
4358,12
4363,14
4373,6
4377,5
4379,5
4384,5
4395,7
4396,13
4402,6
4415,5
4422,13
4423,13
4430,7
4443,4
4472,6
4478,8
4488,5
4494,7
4496,6
4501,5
4502,5
4514,14
4524,14
4534,14
4538,5
4548,6
4570,12
4571,14
4576,5
4586,13
4597,7
4600,13
4601,7
4603,5
4605,7
4608,7
4612,14
4614,9
4615,6
4617,7
4622,6
4628,5
4629,5
4645,5
4646,5
4648,13
4666,5
4670,14
4714,13
4723,14
4739,6
4741,14
4747,7
4757,6
4759,14
4765,13
4782,7
4785,8
4797,5
4802,13
4803,7
4815,14
4816,5
4839,6
4867,5
4868,14
4874,7
4895,11
4900,6
4903,7
4920,5
4921,7
4923,5
4930,7
4934,5
4943,13
4969,7
4980,7
4996,14
4998,6
5006,5
5012,11
5020,10
5025,11
5030,14
5033,14
5040,7
5041,14
5047,10
5089,14
5093,5
5099,7
5111,7
5118,4
5128,11
5136,9
5143,7
5150,7
5157,14
5158,12
5185,5
5191,7
5193,5
5195,5
5231,14
5234,14
5240,5
5244,5
5249,14
5252,8
5255,6
5259,5
5272,6
5281,14
5287,7
5289,5
5296,7
5301,12
5313,14
5332,5
5348,14
5357,8
5391,6
5397,12
5421,13
5424,7
5426,5
5442,5
5444,6
5453,13
5457,6
5459,14
5485,7
5496,8
5509,7
5512,6
5523,7
5531,6
5532,14
5539,5
5564,10
5566,14
5567,6
5568,8
5577,7
5578,5
5586,14
5587,13
5588,7
5598,13
5604,5
5608,10
5618,5
5620,7
5650,11
5668,12
5672,6
5673,11
5698,6
5706,14
5709,14
5720,10
5727,5
5735,6
5741,13
5744,6
5754,5
5759,13
5769,6
5775,6
5800,4
5803,5
5824,7
5835,10
5848,13
5870,10
5885,5
5886,5
5894,7
5902,14
5903,7
5904,14
5909,13
5917,7
5919,14
5936,10
5938,6
5964,7
5969,7
5978,6
5994,14
5995,8
6009,5
6016,14
6024,5
6026,13
6041,7
6063,6
6068,7
6071,6
6081,13
6088,14
6102,12
6113,7
6123,6
6132,6
6134,5
6142,13
6145,13
6150,7
6155,6
6156,6
6167,13
6172,5
6190,5
6196,5
6199,7
6204,7
6209,7
6221,6
6223,14
6225,7
6243,6
6260,12
6268,14
6277,7
6297,11
6304,13
6309,7
6319,7
6324,5
6325,5
6347,14
6349,12
6364,14
