@relation singe_mother_family_test_predicted

@attribute ﻿random_ID numeric
@attribute NZDep2006 numeric
@attribute ch_asian numeric
@attribute ch_euro numeric
@attribute ch_maori numeric
@attribute ch_melaa numeric
@attribute ch_other numeric
@attribute ch_pacific numeric
@attribute m_age numeric
@attribute m_asian numeric
@attribute m_euro numeric
@attribute m_maori numeric
@attribute m_melaa numeric
@attribute m_other numeric
@attribute m_pacific numeric
@attribute m_wklfs_code numeric
@attribute bedroom_count_code numeric
@attribute m_years_at_addr_code numeric
@attribute m_tenure_holder_code numeric
@attribute m_education numeric
@attribute m_work_hours numeric
@attribute m_smoke numeric
@attribute m_income_srce7 numeric
@attribute m_income_srce8 numeric
@attribute m_income_srce9 numeric
@attribute m_income_srce10 numeric
@attribute m_income_srce11 numeric
@attribute m_income_srce12 numeric
@attribute ch_sex numeric
@attribute child_depend_family_type_code numeric
@attribute heat_fuel numeric
@attribute m_family_role_code numeric
@attribute telecomm1_code numeric
@attribute telecomm2_code numeric
@attribute telecomm4_code numeric
@attribute usual_resdnt_count_code numeric
@attribute twin numeric
@attribute singparstat numeric
@attribute 'prediction margin' numeric
@attribute 'predicted total_income_hhld_code' {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute total_income_hhld_code {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
3957,1,0,0,0,0,1,0,38,0,0,0,0,1,0,4,3,5,1,10,0,3,0,0,0,0,0,0,1,31,1,1,1,2,4,2,1,2,-0.26,12,?
3973,9,0,0,0,1,0,0,34,0,0,0,1,1,0,4,3,2,2,0,0,3,0,0,0,0,0,0,1,31,1,1,99,2,99,5,1,2,-0.29,5,?
3974,9,0,0,1,0,0,0,25,0,0,1,0,0,0,4,5,5,2,1,0,1,0,0,1,0,0,0,2,31,1,1,99,2,99,5,1,2,-0.22,14,?
3975,10,0,0,1,0,0,0,35,?,?,?,?,?,?,4,3,?,?,?,0,3,0,0,0,0,0,0,1,31,1,1,1,99,99,5,1,2,-0.193875,12,?
3986,8,0,1,1,0,0,0,24,0,1,1,0,0,0,4,3,1,2,3,0,1,0,0,0,0,0,0,1,31,1,1,1,99,99,2,1,2,-0.19,5,?
3990,10,0,1,1,0,0,0,32,0,1,1,0,0,0,3,3,0,2,7,0,1,0,0,0,0,0,0,2,31,?,1,1,2,99,3,1,2,-0.302256,6,?
4004,9,0,1,1,0,0,0,18,0,1,1,0,0,0,4,2,0,2,7,0,2,0,0,0,0,0,0,2,31,1,1,1,99,99,3,1,2,-0.25,4,?
4012,9,0,1,1,0,0,0,15,0,1,1,0,0,0,3,3,2,2,0,0,3,0,0,1,0,0,0,1,31,1,1,1,2,4,4,1,2,-0.25,14,?
4026,4,0,1,1,0,0,0,26,0,1,0,0,0,0,4,3,1,2,11,0,2,0,0,0,0,0,0,2,31,1,1,1,2,4,4,1,2,-0.16,14,?
4029,4,0,1,0,0,0,0,31,0,1,0,0,0,0,4,5,1,2,0,0,3,0,0,0,0,0,0,1,31,1,1,1,2,99,4,1,2,-0.22,5,?
4037,6,0,1,0,0,0,0,32,0,1,0,0,0,0,4,4,0,1,3,0,3,0,0,0,0,0,0,2,31,1,1,1,2,4,5,1,2,-0.24,5,?
4038,5,0,1,0,0,0,0,37,0,1,?,?,0,?,4,3,8,?,8,0,1,0,0,0,0,0,0,1,31,1,1,1,99,99,2,1,2,-0.151739,5,?
4045,10,0,1,0,0,0,0,20,0,1,0,0,0,0,3,2,2,2,1,?,1,0,0,0,0,0,0,2,31,1,1,1,2,99,3,1,2,-0.250623,8,?
4048,8,0,1,0,0,0,0,28,0,1,0,0,0,0,2,4,2,2,1,9,3,0,0,1,1,0,1,2,31,1,1,1,2,4,5,1,2,-0.3,12,?
4052,10,0,0,0,0,0,0,25,0,0,0,0,0,1,1,5,7,2,?,48,1,0,0,0,0,0,0,1,31,1,1,1,2,99,10,1,2,-0.419384,13,?
4057,9,1,0,0,0,0,0,28,1,0,0,0,0,0,4,3,0,?,?,0,?,0,0,0,0,0,0,1,31,0,1,99,2,4,2,1,2,-0.195082,5,?
4061,10,0,0,0,0,0,1,33,0,0,0,0,0,1,1,3,25,2,11,40,1,0,0,1,1,0,0,1,31,1,1,1,2,4,6,1,2,-0.2,10,?
4062,7,0,0,0,0,0,1,24,0,0,0,0,0,1,1,2,0,2,4,?,2,0,0,0,0,0,0,1,31,1,1,1,2,99,2,1,2,-0.16284,6,?
4079,10,0,1,0,0,0,0,32,0,1,0,0,0,0,4,3,1,2,0,0,3,0,0,0,0,0,0,2,31,1,1,1,2,4,7,1,2,-0.3,7,?
4086,7,0,1,0,0,0,0,34,?,1,0,0,?,?,4,3,?,2,?,0,2,0,0,0,0,0,0,1,31,1,11,1,2,4,3,1,2,-0.233398,6,?
4088,7,0,0,1,0,0,0,18,0,0,1,0,0,0,4,2,0,?,0,0,3,0,0,0,0,0,0,2,31,1,1,1,99,99,4,1,2,-0.274157,4,?
4108,8,0,1,0,0,0,0,34,0,1,0,0,0,0,?,3,10,?,0,0,?,0,0,0,0,0,0,2,31,1,11,1,2,4,2,1,2,-0.138021,7,?
4126,9,0,0,1,0,0,0,22,0,1,0,0,0,0,2,2,4,2,1,26,1,0,0,0,0,0,0,2,31,1,1,1,99,99,2,1,2,-0.24,7,?
4134,4,0,1,0,0,0,0,22,0,1,0,0,0,0,4,2,0,2,7,0,1,0,0,0,0,0,0,2,31,1,1,1,2,99,2,1,2,-0.34,7,?
4146,7,1,1,1,0,0,1,23,0,1,0,0,0,0,4,3,2,2,6,0,1,0,0,1,0,0,0,1,31,1,1,1,2,99,4,1,2,-0.24,13,?
4165,9,0,0,1,0,0,1,24,0,0,0,0,0,1,1,2,0,2,8,40,3,0,0,0,0,0,0,2,31,1,1,1,2,99,3,1,2,-0.18,6,?
