@relation two_parent_test_predicted

@attribute ﻿random_ID numeric
@attribute NZDep2006 numeric
@attribute ch_asian numeric
@attribute ch_euro numeric
@attribute ch_maori numeric
@attribute ch_melaa numeric
@attribute ch_other numeric
@attribute ch_pacific numeric
@attribute m_age numeric
@attribute m_asian numeric
@attribute m_euro numeric
@attribute m_maori numeric
@attribute m_melaa numeric
@attribute m_other numeric
@attribute m_pacific numeric
@attribute m_wklfs_code numeric
@attribute d_age numeric
@attribute d_asian numeric
@attribute d_euro numeric
@attribute d_maori numeric
@attribute d_melaa numeric
@attribute d_other numeric
@attribute d_pacific numeric
@attribute d_wklfs_code numeric
@attribute bedroom_count_code numeric
@attribute m_years_at_addr_code numeric
@attribute m_tenure_holder_code numeric
@attribute m_education numeric
@attribute m_work_hours numeric
@attribute m_smoke numeric
@attribute m_income_srce7 numeric
@attribute m_income_srce8 numeric
@attribute m_income_srce9 numeric
@attribute m_income_srce10 numeric
@attribute m_income_srce11 numeric
@attribute m_income_srce12 numeric
@attribute d_years_at_addr_code numeric
@attribute d_tenure_holder_code numeric
@attribute d_education numeric
@attribute d_work_hours numeric
@attribute d_smoke numeric
@attribute d_income_srce7 numeric
@attribute d_income_srce8 numeric
@attribute d_income_srce9 numeric
@attribute d_income_srce10 numeric
@attribute d_income_srce11 numeric
@attribute d_income_srce12 numeric
@attribute ch_sex numeric
@attribute child_depend_family_type_code numeric
@attribute d_family_role_code numeric
@attribute heat_fuel numeric
@attribute m_family_role_code numeric
@attribute telecomm1_code numeric
@attribute telecomm2_code numeric
@attribute telecomm4_code numeric
@attribute usual_resdnt_count_code numeric
@attribute twin numeric
@attribute singparstat numeric
@attribute 'prediction margin' numeric
@attribute 'predicted total_income_hhld_code' {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute total_income_hhld_code {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
3954,9,0,1,0,0,0,0,27,0,1,0,0,0,0,1,35,0,1,0,0,0,0,1,3,0,1,3,27,3,0,0,0,0,0,0,2,1,7,45,?,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.358399,12,?
3955,9,0,0,0,0,0,1,29,0,0,0,0,0,1,4,43,0,0,0,0,0,1,1,3,0,2,?,0,3,0,0,0,0,0,0,0,2,4,?,2,0,0,0,0,0,0,2,23,1,?,1,1,99,99,5,1,1,-0.188845,11,?
3956,1,0,1,0,0,0,0,36,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,3,2,1,4,0,3,0,0,0,0,0,0,0,1,4,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.28,14,?
3958,1,0,1,0,0,0,0,27,0,1,0,0,0,0,4,36,0,1,0,0,0,0,1,4,0,2,3,0,2,0,0,0,0,0,0,0,2,11,50,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.51,14,?
3959,10,0,1,1,0,0,0,22,0,1,1,0,0,0,1,27,0,1,1,0,0,0,1,3,3,2,1,?,3,0,0,0,0,0,0,0,1,8,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.279216,12,?
3960,8,0,0,0,0,1,0,27,0,0,0,0,1,0,1,25,0,0,0,0,1,0,1,3,0,1,10,32,3,0,0,0,0,0,0,0,1,3,55,2,0,0,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,-0.33,13,?
3961,10,0,0,1,0,0,0,25,0,0,?,0,0,0,?,22,0,0,1,0,0,0,4,3,0,2,?,0,1,0,0,0,0,0,0,0,2,7,0,?,0,0,0,0,0,0,2,21,1,1,1,99,2,99,3,1,1,-0.163212,7,?
3962,8,0,1,1,0,0,0,23,0,0,1,0,0,0,4,38,?,1,?,?,?,?,?,3,2,2,6,0,1,0,0,0,0,0,0,?,?,0,0,?,0,0,0,0,0,0,1,21,1,1,1,1,99,99,4,1,1,-0.263746,12,?
3964,8,1,1,0,0,1,0,28,1,0,0,0,0,0,4,30,0,1,0,0,0,0,1,4,1,1,4,15,3,0,0,0,0,0,0,4,1,10,65,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.27,13,?
3965,10,0,0,0,0,0,1,36,1,0,0,0,0,1,4,39,0,0,0,0,0,1,1,3,8,2,2,0,3,0,0,0,0,0,0,6,2,4,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,4,1,1,-0.25,10,?
