@relation 'Census-weka.filters.unsupervised.attribute.Remove-R60-61-weka.filters.unsupervised.attribute.Remove-R2-8,10-16,18-24,27-28,30-36,38-39,41-55,57-58-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R11-12'

@attribute random_ID numeric
@attribute m_age numeric
@attribute d_age numeric
@attribute bedroom_count_code numeric
@attribute m_years_at_addr_code numeric
@attribute m_work_hours numeric
@attribute d_years_at_addr_code numeric
@attribute d_work_hours numeric
@attribute usual_resdnt_count_code numeric
@attribute total_income_hhld_code {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
1,33,41,3,5,30,2,40,3,13
2,18,33.721865,2,1,0,2.823703,0,2,7
3,34,37,4,4,0,4,35,3,12
4,28,24,4,2,0,0,60,5,14
7,30,36,3,2.788198,23,9,50,4,12
8,36,36,3,4,1,0,40,4,12
9,38,38,4,2,85,1,70,4,13
10,36,36,4,0,35,1,55,4,14
12,29,33.721865,3,1,0,2.823703,0,4,4
13,35,39,4,0,3,1,60,4,14
14,21,21,3,0,0,0,42,3,12
15,22,33,3,0,0,1,50,3,10
16,29,31,1,1,1,0,46,5,11
17,30.699966,34,3,2.788198,0,2,40,3,12
18,29,27,3,3,0,3,50,3,14
19,28,29,4,1,16,1,40,3,12
20,31,30,2,0,0,2,20,3,10
21,30,30,4,1,0,6,34.026761,5,13
22,36,49,3,3,0,2.823703,0,3,14
23,30,36,5,2,0,2,40,8,13
24,38,36,3,0,0,0,40,4,7
25,29,33,4,5,33,2,41,3,12
27,30,33.721865,5,0,0,2.823703,0,7,14
28,35,33,4,2,8.619314,2,34.026761,4,13
29,34,38,3,5,20,5,70,3,12
30,34,39,4,2,0,2,40,4,14
31,30,37,4,5,8.619314,7,70,6,14
33,37,39,3,1,10,1,40,3,14
34,23,22,3,3,35,3,45,3,14
35,30,35,4,3,0,10,40,5,10
36,32,39,4,3,6,3,40,5,14
37,36,33,2,6,3,4,40,4,9
39,30,32,3,1,0,1,50,3,13
41,31,34,3,2,40,2,40,4,13
42,34,36,3,0,0,0,45,3,14
43,21,33.721865,3,0,0,2.823703,0,3,8
44,30.699966,36,3,2.788198,0,0,40,3,11
46,35,33,3,3,0,3,43,5,12
47,27,26,3,2,42,2.823703,40,3,12
48,18,25,4,0,40,1,75,3,10
49,25,33,3,2,8.619314,2,50,3,14
50,31,37,4,2,0,5,40,4,11
52,22,28,3.247138,0,8.619314,0,0,3,7
55,36,39,4,2.788198,10,9,0,4,12
57,31,31,3,0,0,0,40,5,10
58,35,39,3,3,10,2,60,3,13
59,18,18,2,0,0,0,0,3,3
60,28,29,3,2.788198,0,4,0,6,9
61,36,36,3,4,0,4,45,4,13
62,31,29,3,2,0,0,45,4,14
67,37,40,4,2,30,2,100,4,13
68,31,33,3,0,38,7,34.026761,5,13
69,36,40,5,2,0,2,60,5,14
71,18,33.721865,4,6,0,2.823703,0,8,3
72,34,40,2,3,0,3,47,3,13
73,37,38,3,2,8,3,50,4,13
75,23,33.721865,3,2.788198,0,2.823703,0,5,6
76,40,36,3,0,0,0,0,6,9
78,30.699966,44,5,2.788198,0,2,40,4,13
79,25,23,3,0,0,2.823703,34.026761,4,11
80,29,33,5,2,0,2,38,5,13
81,18,33.721865,4,22,0,2.823703,0,6,14
82,33,52,3,0,26,1,50,4,12
83,39,34,3,0,0,2,40,4,14
86,34,36,4,1,40,0,40,3,13
87,32,34,4,5,0,4,50,4,14
88,30,29,3,6,0,4,45,5,12
89,40,33.721865,3,1,8.619314,2.823703,0,3,14
92,36,37,3,2,14,0,45,4,14
93,31,34,3,0,0,2,40,4,12
94,33,37,3,7,10,3,55,4,13
95,34,41,3,0,20,1,40,4,13
96,30,32,3,3,0,3,27,4,13
97,36,39,3,14,58,13,40,5,11
98,31,33.721865,3,2,0,2.823703,0,6,11
99,34,36,3,2,25,2,50,5,14
100,32,33.721865,3,4,0,2.823703,0,4,13
101,27,35,3,2,40,2,38,3,14
103,32,32,3,5,0,8,40,4,13
104,26,25,3,2,0,2,50,3,12
105,28,31,3,2,0,2,0,4,12
106,30.699966,32,2,2.788198,0,3,0,2,2
108,36,33,4,1,8.619314,1,50,4,14
110,34,32,3,0,0,2,45,4,10
112,40,40,3,11,12,7,57,3,12
113,24,28,3,0,40,0,60,4,12
115,32,32,3,1,0,3,40,5,11
117,32,32,3,1,40,2,55,3,14
118,28,26,3,1,0,1,48,3,13
120,37,28,5,0,0,0,44,6,14
122,36,32,5,2,0,0,44,7,13
123,31,31,3,0,0,0,34.026761,4,8
125,29,29,3,0,0,0,56,6,14
126,34,34,2,1,0,2.823703,0,4,7
127,37,47,4,3,40,3,0,3,13
128,35,34,2,1,32,1,70,3,12
129,22,32,4,0,43,2,37,3,11
130,22,25,3,0,33,0,40,3,10
131,21,33.721865,3,4,0,2.823703,0,6,11
132,32,45,2,0,0,3,0,4,8
133,20,33.721865,3,0,0,2.823703,0,2,4
134,33,32,3,6,0,4,40,4,14
135,31,28,4,5,0,2.823703,0,6,7
136,23,25,4,2,8.619314,2,42,4,9
137,33,36,3,2,15,2,40,3,12
138,31,35,3,2,12,3,40,4,12
139,33,32,3,0,15,1,40,4,12
140,19,33.721865,4,0,0,2.823703,0,6,14
141,29,24,3,3,50,3,48,5,13
142,33,33,4,7,0,14,45,5,13
143,34,31,3,0,0,0,45,4,11
147,37,37,4,3,40,2,40,4,14
149,25,25,2,0,0,0,0,4,7
150,28,33.721865,3,4,43,2.823703,0,9,13
151,27,30,3,4,0,0,46,4,11
152,36,37,4,4,0,6,44,4,14
153,28,28,3,1,14,1,40,4,12
154,39,47,3,5,10,3,34.026761,5,14
155,33,35,6,0,20,5,60,4,13
156,33,38,3,5,16,0,32,3,12
157,25,29,3,2,24,2,40,4,10
160,29,30,3,0,20,1,38,4,12
161,34,33.721865,2,2,0,2.823703,0,3,11
162,24,32,2,1,0,1,40,4,10
165,33,33,3,3,0,2.823703,9,4,14
170,39,39,5,2,10,2.823703,20,5,6
172,26,31,3,9,35,3,45,5,9
173,35,30,5,2,40,4,60,4,14
174,23,33.721865,3,0,0,2.823703,0,2,8
175,23,29,2,2,0,1,40,3,12
176,32,45,3,4,0,4,0,5,10
177,33,33,3,0,0,0,40,4,14
178,32,31,3,5,0,2,70,5,9
179,35,33.721865,5,2,0,2.823703,0,7,12
181,34,33,4,3,40,3,40,4,14
182,32,39,3,3,0,3,34.026761,3,11
183,22,33.721865,3,7,0,2.823703,0,3,7
184,29,29,4,2,20,0,40,4,14
185,34,41,4,1,0,2,60,5,10
186,23,25,3,7,0,1,55,4,12
187,23,32,3,0,7,2,40,3,13
188,26,33.721865,4,0,0,2.823703,0,6,13
189,33,31,4,0,8.619314,0,38,5,12
190,26,21,4,1,5,1,50,3,11
191,27,33,3,4,23,5,40,3,14
193,25,33,3,1,0,0,50,5,11
195,42,35,3,5,0,5,45,4,13
196,26,30,5,0,40,0,35,5,14
197,30.699966,34,3,2.788198,0,1,38,3,11
198,32,41,4,0,30,1,70,6,13
