@relation Census_predicted

@attribute random_ID numeric
@attribute NZDep2006 {1,2,3,4,5,6,7,8,9,10}
@attribute ch_asian {0,1}
@attribute ch_euro {0,1}
@attribute ch_maori {0,1}
@attribute ch_melaa {0,1}
@attribute ch_other {0,1}
@attribute ch_pacific {0,1}
@attribute m_age numeric
@attribute m_asian {0,1}
@attribute m_euro {0,1}
@attribute m_maori {0,1}
@attribute m_melaa {0,1}
@attribute m_other {0,1}
@attribute m_pacific {0,1}
@attribute m_wklfs_code {1,2,3,4}
@attribute d_age numeric
@attribute d_asian {0,1}
@attribute d_euro {0,1}
@attribute d_maori {0,1}
@attribute d_melaa {0,1}
@attribute d_other {0,1}
@attribute d_pacific {0,1}
@attribute d_wklfs_code {1,2,3,4}
@attribute bedroom_count_code numeric
@attribute m_years_at_addr_code numeric
@attribute m_tenure_holder_code {1,2}
@attribute m_education {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute m_work_hours numeric
@attribute m_smoke {1,2,3}
@attribute m_income_srce7 {0,1}
@attribute m_income_srce8 {0,1}
@attribute m_income_srce9 {0,1}
@attribute m_income_srce10 {0,1}
@attribute m_income_srce11 {0,1}
@attribute m_income_srce12 {0,1}
@attribute d_years_at_addr_code numeric
@attribute d_tenure_holder_code {1,2}
@attribute d_education {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute d_work_hours numeric
@attribute d_smoke {1,2,3}
@attribute d_income_srce7 {0,1}
@attribute d_income_srce8 {0,1}
@attribute d_income_srce9 {0,1}
@attribute d_income_srce10 {0,1}
@attribute d_income_srce11 {0,1}
@attribute d_income_srce12 {0,1}
@attribute ch_sex {1,2}
@attribute child_depend_family_type_code {21,23,24,26,31,33,34,36}
@attribute d_family_role_code {1,3,11}
@attribute heat_fuel {0,1}
@attribute m_family_role_code {1,3,11}
@attribute telecomm1_code {1,99}
@attribute telecomm2_code {2,99}
@attribute telecomm4_code {4,99}
@attribute usual_resdnt_count_code numeric
@attribute twin {1,2}
@attribute singparstat {1,2,3}
@attribute 'prediction margin' numeric
@attribute 'predicted total_income_hhld_code' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute total_income_hhld_code {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
4547,9,1,0,0,0,0,0,30,1,0,0,0,0,0,4,33,1,0,0,0,0,0,1,3,3,2,11,0,3,0,0,0,0,0,0,3,2,11,43,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,-0.228535,12,?
7446,1,0,1,0,0,0,0,33,0,1,0,0,0,0,4,36,0,1,0,0,0,0,1,4,1,1,2,0,3,0,0,0,0,0,0,1,1,8,45,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.314236,13,?
6336,2,0,1,0,0,0,0,35,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,4,2,1,11,0,3,0,0,0,0,0,0,3,1,11,40,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.657039,14,?
8316,4,0,1,1,0,0,0,26,0,1,0,0,0,0,2,27,0,1,1,0,0,0,1,3,0,1,11,?,3,0,0,0,0,0,0,2,1,9,45,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.628472,14,?
5559,4,0,1,1,0,0,0,22,0,1,0,0,0,0,4,22,0,0,1,0,0,0,1,3,0,2,6,0,3,0,0,0,0,0,0,0,2,8,45,2,0,0,0,0,0,0,1,21,1,1,1,1,2,99,3,1,1,-0.285669,12,?
9063,10,0,0,1,0,0,0,25,0,0,1,0,0,0,4,?,?,?,?,?,?,?,?,3,2,2,3,0,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,2,31,?,1,1,1,2,4,3,1,2,-0.142834,7,?
6651,9,0,1,1,0,0,0,25,?,0,0,?,1,0,4,32,0,0,1,0,1,0,1,4,0,?,1,0,1,0,0,0,0,0,0,1,2,2,45,1,0,0,0,0,0,0,1,21,1,1,1,1,2,99,5,1,1,-0.285669,12,?
6911,8,1,1,1,0,0,0,30,0,1,0,0,0,0,2,30,1,1,1,0,0,0,1,3,4,1,7,21,3,0,0,0,0,0,0,2,1,1,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.399937,14,?
7979,8,0,1,0,0,0,0,20,0,1,0,0,0,0,4,?,?,?,?,?,?,?,?,4,1,2,1,0,1,0,1,1,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,1,2,4,4,1,2,-0.257102,14,?
8223,1,0,1,0,0,0,0,41,0,1,0,0,0,0,2,53,0,1,0,0,0,0,1,4,2,2,2,2,3,0,0,0,0,0,0,1,2,11,60,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.45707,14,?
9323,5,0,1,1,0,0,1,24,0,1,1,0,0,1,4,?,?,?,?,?,?,?,?,4,0,2,1,0,2,0,0,1,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,1,2,99,3,1,2,-0.171401,10,?
5084,5,1,0,0,0,0,0,35,1,0,0,0,0,0,1,36,1,0,0,0,0,0,1,2,2,2,13,30,3,0,0,0,0,0,0,0,2,11,40,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.228535,12,?
7783,6,0,1,0,0,0,0,30,0,1,0,0,0,0,2,35,0,1,0,0,0,0,1,4,30,2,7,0,3,0,1,0,0,0,1,0,2,1,60,2,0,1,0,0,0,1,1,21,1,1,1,1,2,4,7,1,1,-0.37137,12,?
7902,1,0,1,0,0,0,0,37,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,3,1,11,0,3,0,0,0,0,0,0,3,1,11,53,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.542771,14,?
6915,4,0,0,1,0,0,0,27,0,0,1,0,0,0,4,?,?,?,?,?,?,?,?,2,1,2,0,0,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,1,99,99,3,1,2,-0.314236,7,?
7293,1,0,1,0,0,0,0,33,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,1,1,12,0,3,0,0,0,0,0,0,2,1,8,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.485637,14,?
4525,1,0,1,0,0,0,0,34,0,1,0,0,0,0,2,36,0,1,0,0,0,0,1,4,1,1,11,20,3,0,0,0,0,0,0,0,1,11,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.45707,14,?
6450,1,0,1,0,0,0,0,29,0,1,0,0,0,0,1,34,0,1,0,0,0,0,1,3,0,1,11,40,3,0,0,0,0,0,0,1,1,2,50,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.742739,14,?
