@relation Census-weka.filters.unsupervised.attribute.Remove-R60-61-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute random_ID numeric
@attribute NZDep2006 {1,2,3,4,5,6,7,8,9,10}
@attribute ch_asian {0,1}
@attribute ch_euro {0,1}
@attribute ch_maori {0,1}
@attribute ch_melaa {0,1}
@attribute ch_other {0,1}
@attribute ch_pacific {0,1}
@attribute m_age numeric
@attribute m_asian {0,1}
@attribute m_euro {0,1}
@attribute m_maori {0,1}
@attribute m_melaa {0,1}
@attribute m_other {0,1}
@attribute m_pacific {0,1}
@attribute m_wklfs_code {1,2,3,4}
@attribute d_age numeric
@attribute d_asian {0,1}
@attribute d_euro {0,1}
@attribute d_maori {0,1}
@attribute d_melaa {0,1}
@attribute d_other {0,1}
@attribute d_pacific {0,1}
@attribute d_wklfs_code {1,2,3,4}
@attribute bedroom_count_code numeric
@attribute m_years_at_addr_code numeric
@attribute m_tenure_holder_code {1,2}
@attribute m_education {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute m_work_hours numeric
@attribute m_smoke {1,2,3}
@attribute m_income_srce7 {0,1}
@attribute m_income_srce8 {0,1}
@attribute m_income_srce9 {0,1}
@attribute m_income_srce10 {0,1}
@attribute m_income_srce11 {0,1}
@attribute m_income_srce12 {0,1}
@attribute d_years_at_addr_code numeric
@attribute d_tenure_holder_code {1,2}
@attribute d_education {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute d_work_hours numeric
@attribute d_smoke {1,2,3}
@attribute d_income_srce7 {0,1}
@attribute d_income_srce8 {0,1}
@attribute d_income_srce9 {0,1}
@attribute d_income_srce10 {0,1}
@attribute d_income_srce11 {0,1}
@attribute d_income_srce12 {0,1}
@attribute ch_sex {1,2}
@attribute child_depend_family_type_code {21,23,24,26,31,33,34,36}
@attribute d_family_role_code {1,3,11}
@attribute heat_fuel {0,1}
@attribute m_family_role_code {1,3,11}
@attribute telecomm1_code {1,99}
@attribute telecomm2_code {2,99}
@attribute telecomm4_code {4,99}
@attribute usual_resdnt_count_code numeric
@attribute twin {1,2}
@attribute singparstat {1,2,3}
@attribute total_income_hhld_code {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
3007,8,0,1,0,0,0,0,27,0,1,0,0,0,0,4,32,0,1,0,0,0,0,1,3,3,?,?,0,?,0,0,0,0,0,0,0,1,8,45,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,1
906,7,0,1,0,0,0,0,38,0,1,0,0,0,0,4,33,?,?,?,?,?,0,?,3,2,1,3,0,3,0,0,0,0,0,0,2.823703,?,?,0,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,1
906,7,0,1,0,0,0,0,38,0,1,0,0,0,0,4,33,?,?,?,?,?,0,?,3,2,1,3,0,3,0,0,0,0,0,0,2.823703,?,?,0,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,1
3007,8,0,1,0,0,0,0,27,0,1,0,0,0,0,4,32,0,1,0,0,0,0,1,3,3,?,?,0,?,0,0,0,0,0,0,0,1,8,45,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,1
3512,7,0,1,0,0,0,0,96,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,3,2,1,7,0,2,0,0,0,0,0,0,2,1,0,60,1,0,0,0,0,0,0,2,21,1,1,3,1,2,4,4,1,1,1
2662,8,0,0,0,0,0,1,25,0,0,0,0,0,1,4,36,?,0,0,0,?,1,?,2,0,2,3,0,3,0,0,0,0,0,0,2.823703,2,0,0,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,6,1,1,1
2917,10,0,0,0,0,0,1,23,0,0,0,0,0,0,4,21,0,0,0,0,0,1,1,3,0,2,?,0,3,0,1,1,0,0,0,22,2,1,40,1,1,1,1,0,0,0,1,21,1,0,1,1,99,99,8,1,1,1
906,7,0,1,0,0,0,0,38,0,1,0,0,0,0,4,33,?,?,?,?,?,0,?,3,2,1,3,0,3,0,0,0,0,0,0,2.823703,?,?,0,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,1
906,7,0,1,0,0,0,0,38,0,1,0,0,0,0,4,33,?,?,?,?,?,0,?,3,2,1,3,0,3,0,0,0,0,0,0,2.823703,?,?,0,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,1
3238,1,0,1,0,0,0,0,39,0,1,0,0,0,0,4,33.721865,?,?,?,?,?,?,?,3,1,1,4,0,3,0,0,0,0,0,0,2.823703,?,?,0,?,0,0,0,0,0,0,2,31,?,1,1,1,2,4,3,1,2,2
1003,10,0,0,0,0,0,1,39,0,0,0,0,0,1,2,50,0,0,0,0,0,1,2,2,7,1,0,8.619314,3,0,0,0,0,0,0,8,2,0,0,3,0,0,0,0,0,0,2,21,1,1,1,99,2,99,5,1,1,2
3238,1,0,1,0,0,0,0,39,0,1,0,0,0,0,4,33.721865,?,?,?,?,?,?,?,3,1,1,4,0,3,0,0,0,0,0,0,2.823703,?,?,0,?,0,0,0,0,0,0,2,31,?,1,1,1,2,4,3,1,2,2
106,5,0,1,0,0,0,0,30.699966,?,?,?,?,?,?,?,32,0,1,0,0,0,0,1,2,2.788198,?,?,0,?,0,0,0,0,0,0,3,1,8,0,2,0,0,0,0,0,0,1,31,1,1,?,1,2,4,2,1,3,2
