random_ID,'predicted total_income_hhld_code'
4547,12
7446,14
6336,14
8316,13
5559,10
9063,6
6651,12
6911,12
7979,13
8223,14
9323,13
5084,12
7783,14
7902,14
6915,6
7293,13
4525,14
6450,14
9110,14
8367,14
4536,12
6681,13
5704,12
8990,13
6633,14
9068,11
6310,12
5580,14
9715,14
7149,14
7690,13
5849,11
7935,12
7214,14
4548,7
9239,14
6635,13
9454,14
5549,12
6556,6
7384,14
9580,14
6640,12
7861,13
4980,12
7355,12
5563,12
6832,10
4112,12
8642,13
8436,12
7161,6
7060,14
8913,14
7081,7
6707,13
8590,7
9860,12
8989,14
6112,10
8420,12
6381,12
8475,12
8588,12
5598,12
8589,14
9839,14
4066,13
4474,12
5413,14
8656,14
6311,13
8694,12
8374,12
5100,13
9272,13
7033,12
4973,14
4222,13
6316,13
4679,14
6339,14
5865,14
7386,14
9856,13
9062,12
9701,14
6546,14
4207,13
5646,14
8075,13
9425,14
3976,12
8699,7
6654,6
5236,12
4367,14
5266,12
8260,14
7311,13
4787,12
9760,14
6329,13
7318,14
4119,13
7241,12
7755,14
8779,14
8941,14
5038,13
8872,14
4842,14
6983,12
9974,14
7508,13
5303,12
4415,5
5807,14
4417,13
8132,13
7706,14
8702,12
4537,13
9700,13
6290,12
6342,12
4591,13
7544,14
9993,13
4856,14
6817,7
5668,12
7156,14
4637,12
5960,14
6320,13
5366,14
9763,14
4759,12
8418,12
8629,12
4738,7
5315,13
4007,12
6671,14
4244,13
4060,13
4993,12
9850,14
8745,12
5319,12
9165,13
4392,13
4292,13
8504,12
8808,12
6198,10
4868,10
7638,13
8603,13
7323,7
4290,5
6827,12
4249,13
8610,13
7260,12
7051,12
7441,14
8653,12
6620,13
8299,14
9046,13
8235,12
7493,10
6147,13
4442,14
9103,9
5089,7
8056,13
6385,12
6417,13
7895,12
6186,14
8741,12
5537,12
9117,12
4243,14
8836,12
7101,12
8354,14
7964,14
6919,6
5251,13
5014,13
9651,9
4642,14
5290,14
8222,12
9722,12
7377,13
6508,13
6519,12
8578,13
9778,14
6956,13
4095,13
8432,12
9032,12
9219,13
9370,13
5635,14
8465,14
5150,7
7875,12
7815,12
5419,14
4361,12
4012,13
9615,6
8265,12
8758,14
6325,5
7237,14
9926,12
6579,13
4939,14
8671,7
7309,8
6974,14
8664,14
4963,13
6425,13
7056,14
3954,12
7609,14
6605,14
7439,13
7962,13
9486,6
7253,7
5296,7
7999,7
7357,13
6219,14
7271,12
9611,14
9517,12
5854,14
9988,14
5000,14
9881,10
8284,12
6352,13
9897,14
7624,14
5570,14
6431,6
8087,14
4056,12
5569,13
8972,7
6861,14
7310,12
6173,13
7597,13
5830,12
4052,13
9020,13
7751,13
9220,10
8617,12
5933,14
6626,14
7400,14
5980,13
9463,12
4268,11
5132,13
9004,13
5390,13
4543,14
6897,14
4318,12
6738,14
7502,7
5794,12
7103,14
9597,14
5097,14
7671,14
9091,14
6890,14
5322,7
8213,14
5750,12
8512,13
8963,12
7124,10
5601,12
9764,5
4602,12
6258,13
4195,14
4384,14
5542,13
6190,5
7113,12
7627,12
9034,12
6271,12
8152,14
5986,13
8637,14
7463,7
4618,12
7871,12
6550,12
5863,13
9424,14
8898,14
5160,7
5342,14
7199,12
8155,14
4719,13
8151,14
4743,14
7743,14
4583,13
6548,7
8310,14
6428,12
9703,12
4253,12
5664,13
8228,14
9430,7
6488,14
8327,10
9141,12
7793,12
4577,13
5058,13
4395,7
6035,14
6571,14
8593,7
4189,7
4555,12
7460,13
8002,14
6367,14
5360,9
5040,7
8645,13
9514,13
8306,14
7886,7
9241,14
6916,13
5359,14
4419,14
8514,7
5679,14
5016,12
9126,12
9500,13
6457,13
8055,12
4005,13
6127,13
4125,7
4421,14
7603,14
4301,12
9579,5
4881,14
6542,14
9624,12
9019,7
5217,14
8238,12
6270,13
9740,13
7459,12
4672,12
4036,12
9575,13
4938,13
5043,12
9086,13
8016,7
7227,12
8032,13
9115,13
7942,14
6231,12
8237,14
7589,12
4428,14
8786,12
5694,13
6380,14
8581,12
9641,13
4765,14
8649,14
6610,11
7957,14
6389,7
8174,10
8903,12
9822,14
9953,14
9276,13
8308,12
6841,14
4634,12
9562,12
5481,14
7114,13
8488,13
9538,14
4096,7
9114,14
6366,10
7292,5
6008,14
4473,14
8034,12
6063,6
4229,12
6574,5
7826,12
8562,14
5574,14
9639,10
8778,6
8210,14
6447,14
9422,14
4085,12
4800,13
4816,5
5241,13
7664,14
7466,14
6017,14
5162,12
7668,12
8800,14
4855,12
5708,14
5801,14
8139,7
9568,12
5775,5
9616,12
3990,7
4751,13
6344,14
9811,14
5276,13
1,13
155,14
3535,13
2313,12
3743,12
41,14
61,13
1323,12
3410,13
2827,12
1489,14
3952,12
2788,14
3336,12
1074,13
1768,13
677,12
603,13
1098,13
3467,12
3418,13
1432,12
2136,14
2537,13
3017,13
937,13
2028,13
667,14
1403,14
2439,12
3510,12
2232,13
3832,13
2599,13
39,12
1291,14
2169,12
3010,14
1115,13
566,14
458,14
1275,13
3919,13
409,14
2885,12
1421,13
1931,12
349,14
2401,14
2227,13
