random_ID,NZDep2006,ch_asian,ch_euro,ch_maori,ch_melaa,ch_other,ch_pacific,m_age,m_asian,m_euro,m_maori,m_melaa,m_other,m_pacific,m_wklfs_code,d_age,d_asian,d_euro,d_maori,d_melaa,d_other,d_pacific,d_wklfs_code,bedroom_count_code,m_years_at_addr_code,m_tenure_holder_code,m_education,m_work_hours,m_smoke,m_income_srce7,m_income_srce8,m_income_srce9,m_income_srce10,m_income_srce11,m_income_srce12,d_years_at_addr_code,d_tenure_holder_code,d_education,d_work_hours,d_smoke,d_income_srce7,d_income_srce8,d_income_srce9,d_income_srce10,d_income_srce11,d_income_srce12,ch_sex,child_depend_family_type_code,d_family_role_code,heat_fuel,m_family_role_code,telecomm1_code,telecomm2_code,telecomm4_code,usual_resdnt_count_code,twin,singparstat,total_income_hhld_code
1294,2,0,1,0,0,0,0,19,0,1,0,0,0,0,4,?,?,?,?,?,?,?,?,5,0,2,5,0,3,0,0,1,0,0,0,?,?,?,0,?,0,0,0,0,0,0,2,31,?,1,1,1,2,4,7,1,2,1
671,8,0,0,0,0,0,0,?,?,?,?,?,?,?,?,44,0,?,0,0,?,?,1,2,?,?,?,0,?,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,2,31,1,1,?,99,2,99,6,1,3,1
906,7,0,1,0,0,0,0,38,0,1,0,0,0,0,4,33,?,?,?,?,?,0,?,3,2,1,3,0,3,0,0,0,0,0,0,?,?,?,0,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,1
906,7,0,1,0,0,0,0,38,0,1,0,0,0,0,4,33,?,?,?,?,?,0,?,3,2,1,3,0,3,0,0,0,0,0,0,?,?,?,0,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,1
1828,2,0,1,0,0,0,1,22,0,0,0,0,0,1,4,?,?,?,?,?,?,?,?,3,2,2,4,0,3,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,99,2,99,4,1,2,2
1828,2,0,1,0,0,0,1,22,0,0,0,0,0,1,4,?,?,?,?,?,?,?,?,3,2,2,4,0,3,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,99,2,99,4,1,2,2
106,5,0,1,0,0,0,0,?,?,?,?,?,?,?,?,32,0,1,0,0,0,0,1,2,?,?,?,0,?,0,0,0,0,0,0,3,1,8,0,2,0,0,0,0,0,0,1,31,1,1,?,1,2,4,2,1,3,2
212,3,0,1,0,0,0,0,35,0,1,0,0,0,0,4,41,0,1,0,0,0,0,4,3,0,2,14,0,2,0,0,0,0,0,0,0,2,11,0,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,2
869,8,1,0,0,0,0,0,35,1,0,0,0,0,0,4,30,1,0,0,0,0,0,2,3,0,?,4,0,3,0,0,0,0,0,0,0,1,4,6,3,0,0,0,0,0,0,1,21,1,1,1,1,2,99,3,1,1,2
1828,2,0,1,0,0,0,1,22,0,0,0,0,0,1,4,?,?,?,?,?,?,?,?,3,2,2,4,0,3,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,99,2,99,4,1,2,2
1371,10,0,0,0,0,0,1,28,?,0,?,0,0,1,?,?,?,?,?,?,?,?,?,2,5,1,?,0,?,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,2,31,?,1,1,1,99,99,7,1,2,2
