random_ID,NZDep2006,ch_asian,ch_euro,ch_maori,ch_melaa,ch_other,ch_pacific,m_age,m_asian,m_euro,m_maori,m_melaa,m_other,m_pacific,m_wklfs_code,d_age,d_asian,d_euro,d_maori,d_melaa,d_other,d_pacific,d_wklfs_code,bedroom_count_code,m_years_at_addr_code,m_tenure_holder_code,m_education,m_work_hours,m_smoke,m_income_srce7,m_income_srce8,m_income_srce9,m_income_srce10,m_income_srce11,m_income_srce12,d_years_at_addr_code,d_tenure_holder_code,d_education,d_work_hours,d_smoke,d_income_srce7,d_income_srce8,d_income_srce9,d_income_srce10,d_income_srce11,d_income_srce12,ch_sex,child_depend_family_type_code,d_family_role_code,heat_fuel,m_family_role_code,telecomm1_code,telecomm2_code,telecomm4_code,usual_resdnt_count_code,twin,singparstat,total_income_hhld_code
17,10,0,1,0,0,0,0,?,?,?,?,?,?,?,?,34,0,1,0,0,0,0,1,3,?,?,?,0,?,0,0,0,0,0,0,2,1,1,40,3,0,0,0,0,0,0,2,31,1,1,?,1,2,4,3,1,3,12
44,10,0,0,1,0,0,0,?,?,?,?,?,?,?,?,36,?,0,1,0,0,0,1,3,?,?,?,0,?,0,0,0,0,0,0,0,2,?,40,3,0,0,0,0,0,0,1,31,1,1,?,1,2,99,3,1,3,11
78,1,0,1,0,0,0,0,?,?,?,?,?,?,?,?,44,0,1,0,0,0,0,2,5,?,?,?,0,?,0,0,0,0,0,0,2,1,?,40,3,0,0,0,0,0,0,1,33,1,1,?,1,2,4,4,1,3,13
106,5,0,1,0,0,0,0,?,?,?,?,?,?,?,?,32,0,1,0,0,0,0,1,2,?,?,?,0,?,0,0,0,0,0,0,3,1,8,0,2,0,0,0,0,0,0,1,31,1,1,?,1,2,4,2,1,3,2
197,7,0,0,0,0,1,0,?,?,?,?,?,?,?,?,34,0,0,0,0,1,0,1,3,?,?,?,0,?,0,0,0,0,0,0,1,1,2,38,3,0,0,0,0,0,0,2,31,1,1,?,1,2,99,3,1,3,11
207,7,0,0,0,0,0,1,?,?,?,?,?,?,?,?,27,0,0,0,0,0,1,1,4,?,?,?,0,?,0,0,0,0,0,0,0,2,5,40,1,0,0,0,0,0,0,1,31,1,1,?,1,2,4,3,1,3,11
214,8,0,1,0,0,0,0,?,?,?,?,?,?,?,?,45,0,1,0,0,0,0,1,4,?,?,?,0,?,0,0,0,0,0,0,1,2,8,40,3,0,0,0,0,0,0,1,31,1,1,?,1,2,4,3,1,3,10
279,9,0,0,1,0,0,0,?,?,?,?,?,?,?,?,25,0,0,1,0,0,0,3,3,?,?,?,0,?,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,31,1,1,?,1,2,99,2,1,3,12
315,8,0,1,0,0,0,1,?,?,?,?,?,?,?,?,31,0,0,0,0,0,1,3,3,?,?,?,0,?,0,0,0,0,0,0,3,2,5,48,?,0,0,0,1,0,0,2,31,1,1,?,1,2,99,7,1,3,11
671,8,0,0,0,0,0,0,?,?,?,?,?,?,?,?,44,0,?,0,0,?,?,1,2,?,?,?,0,?,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,2,31,1,1,?,99,2,99,6,1,3,1
771,6,0,1,1,0,0,0,?,?,?,?,?,?,?,?,29,0,1,0,0,0,0,1,2,?,?,?,0,?,0,0,0,0,0,0,0,2,0,50,2,0,0,0,0,0,1,2,31,1,1,?,1,2,4,5,1,3,13
858,6,0,1,0,0,0,0,?,?,?,?,?,?,?,?,34,0,1,0,0,0,0,2,5,?,?,?,0,?,0,0,0,0,0,0,0,2,4,14,1,0,0,0,0,0,0,1,33,1,1,?,1,2,4,5,1,3,13
924,6,0,1,0,0,0,0,?,?,?,?,?,?,?,?,34,0,0,0,0,1,0,1,2,?,?,?,0,?,0,0,0,0,0,0,0,2,0,50,1,0,0,0,0,0,0,1,31,1,1,?,1,99,99,5,1,3,7
1059,9,0,1,0,0,0,0,?,?,?,?,?,?,?,?,25,0,1,0,0,0,0,1,5,?,?,?,0,?,0,0,0,0,0,0,0,2,1,?,2,0,0,0,0,0,0,2,31,1,1,?,1,2,4,6,1,3,14
1080,3,0,0,1,0,0,0,?,?,?,?,?,?,?,?,29,0,0,1,0,0,0,2,2,?,?,?,0,?,0,0,0,0,0,0,27,2,7,0,2,0,0,1,0,0,0,2,31,1,1,?,1,99,99,7,1,3,6
1197,9,0,1,0,0,0,0,?,?,?,?,?,?,?,?,35,0,1,0,0,0,0,1,2,?,?,?,0,?,0,0,0,0,0,0,0,2,8,38,1,0,0,0,0,0,0,2,31,1,1,?,1,2,4,3,1,3,9
1228,10,0,0,0,0,0,1,?,?,?,?,?,?,?,?,39,0,0,0,0,0,1,1,2,?,?,?,0,?,0,0,0,0,0,0,?,2,0,40,1,0,0,0,0,0,0,2,31,1,?,?,1,99,99,5,1,3,8
1267,8,1,0,0,0,0,0,?,?,?,?,?,?,?,?,30,1,0,0,0,0,0,1,4,?,?,?,0,?,0,0,0,0,0,0,0,1,9,40,3,0,0,0,0,0,0,1,31,1,1,?,1,2,99,5,1,3,11
1311,8,0,0,0,0,0,1,?,?,?,?,?,?,?,?,37,?,?,0,0,0,1,1,3,?,?,?,0,?,0,0,0,0,0,0,0,?,?,?,?,0,0,0,0,0,0,1,31,1,1,?,1,2,99,9,1,3,14
1459,1,0,1,0,1,0,0,?,?,?,?,?,?,?,?,21,0,0,0,0,1,0,1,3,?,?,?,0,?,0,0,0,0,0,0,0,2,2,60,3,0,0,0,0,0,0,2,31,1,1,?,1,2,4,3,1,3,11
1663,8,0,0,1,0,0,0,?,?,?,?,?,?,?,?,52,0,0,1,0,0,0,3,?,?,?,?,0,?,0,0,0,0,0,0,2,2,6,0,1,1,1,0,1,0,0,1,31,1,1,?,1,99,99,10,1,3,14
1836,9,0,1,0,0,0,0,?,?,?,?,?,?,?,?,49,0,1,0,0,0,0,1,3,?,?,?,0,?,0,0,0,0,0,0,4,1,8,48,3,0,0,0,0,0,0,2,31,1,1,?,1,2,4,2,1,3,13
2099,9,0,0,0,0,1,0,?,?,?,?,?,?,?,?,32,0,1,0,0,0,0,1,3,?,?,?,0,?,0,0,0,0,0,0,0,2,1,50,1,0,0,0,0,0,0,2,31,1,1,?,99,2,99,2,1,3,13
2349,8,0,0,0,0,1,0,?,?,?,?,?,?,?,?,20,?,0,0,?,0,?,?,2,?,?,?,0,?,0,0,0,0,0,0,?,2,1,0,?,0,1,0,0,0,0,2,31,1,1,?,1,2,99,4,1,3,7
